model,top1_accuracy,top5_accuracy
beit_large_patch16_512,88.6,98.656
beit_large_patch16_384,88.404,98.608
tf_efficientnet_l2_ns,88.348,98.648
tf_efficientnet_l2_ns_475,88.232,98.546
convnext_xlarge_384_in22ft1k,87.546,98.486
beit_large_patch16_224,87.474,98.304
convnext_large_384_in22ft1k,87.396,98.368
swin_large_patch4_window12_384,87.15,98.24
vit_large_patch16_384,87.08,98.3
volo_d5_512,87.042,97.968
convnext_xlarge_in22ft1k,87.002,98.212
volo_d5_448,86.952,97.94
tf_efficientnet_b7_ns,86.838,98.096
beit_base_patch16_384,86.798,98.136
volo_d4_448,86.79,97.882
convnext_large_in22ft1k,86.636,98.028
convnext_base_384_in22ft1k,86.544,98.19
volo_d3_448,86.496,97.71
cait_m48_448,86.486,97.752
tf_efficientnet_b6_ns,86.454,97.882
swin_base_patch4_window12_384,86.432,98.056
tf_efficientnetv2_xl_in21ft1k,86.418,97.866
swin_large_patch4_window7_224,86.314,97.892
tf_efficientnetv2_l_in21ft1k,86.304,97.978
vit_large_r50_s32_384,86.182,97.92
dm_nfnet_f6,86.142,97.73
tf_efficientnet_b5_ns,86.09,97.75
volo_d5_224,86.072,97.578
cait_m36_384,86.052,97.73
volo_d2_384,86.04,97.572
vit_base_patch16_384,86.01,98.002
xcit_large_24_p8_384_dist,85.998,97.684
volo_d4_224,85.874,97.468
vit_large_patch16_224,85.838,97.82
convnext_base_in22ft1k,85.824,97.866
dm_nfnet_f5,85.816,97.486
xcit_medium_24_p8_384_dist,85.814,97.592
vit_base_patch8_224,85.794,97.794
xcit_large_24_p16_384_dist,85.754,97.538
dm_nfnet_f4,85.714,97.522
tf_efficientnetv2_m_in21ft1k,85.59,97.744
xcit_small_24_p8_384_dist,85.556,97.572
dm_nfnet_f3,85.522,97.462
tf_efficientnetv2_l,85.49,97.372
cait_s36_384,85.462,97.48
ig_resnext101_32x48d,85.436,97.576
xcit_medium_24_p16_384_dist,85.422,97.406
deit_base_distilled_patch16_384,85.422,97.332
volo_d3_224,85.412,97.28
xcit_large_24_p8_224_dist,85.398,97.41
tf_efficientnet_b8_ap,85.372,97.292
tf_efficientnet_b8,85.368,97.39
swin_base_patch4_window7_224,85.248,97.562
volo_d1_384,85.248,97.214
beit_base_patch16_224,85.228,97.658
volo_d2_224,85.194,97.188
tf_efficientnet_b4_ns,85.162,97.47
tf_efficientnet_b7_ap,85.12,97.252
ig_resnext101_32x32d,85.1,97.434
xcit_small_24_p16_384_dist,85.094,97.31
xcit_small_12_p8_384_dist,85.08,97.28
xcit_medium_24_p8_224_dist,85.072,97.28
dm_nfnet_f2,85.062,97.24
cait_s24_384,85.046,97.346
tf_efficientnetv2_m,85.038,97.278
regnetz_e8,85.03,97.264
resnetrs420,85.01,97.124
ecaresnet269d,84.976,97.226
vit_base_r50_s16_384,84.97,97.29
tf_efficientnet_b7,84.936,97.204
xcit_large_24_p16_224_dist,84.922,97.132
resnetv2_152x4_bitm,84.916,97.442
xcit_small_24_p8_224_dist,84.876,97.188
efficientnetv2_rw_m,84.812,97.146
tf_efficientnet_b6_ap,84.786,97.138
resnetrs350,84.718,96.988
xcit_small_12_p16_384_dist,84.71,97.118
eca_nfnet_l2,84.696,97.264
dm_nfnet_f1,84.624,97.1
vit_base_patch16_224,84.528,97.294
resnest269e,84.52,96.986
resnetv2_152x2_bitm,84.506,97.434
regnetz_040h,84.496,97.006
resnetv2_101x3_bitm,84.442,97.382
resnetrs200,84.438,97.08
resnetrs270,84.436,96.97
vit_large_r50_s32_224,84.424,97.166
resmlp_big_24_224_in22ft1k,84.394,97.12
xcit_large_24_p8_224,84.394,96.656
seresnet152d,84.36,97.04
tf_efficientnetv2_s_in21ft1k,84.298,97.254
convnext_large,84.292,96.894
swsl_resnext101_32x8d,84.29,97.18
xcit_medium_24_p16_224_dist,84.274,96.94
vit_base_patch16_224_miil,84.272,96.802
tf_efficientnet_b5_ap,84.256,96.976
xcit_small_12_p8_224_dist,84.236,96.874
regnetz_040,84.234,96.932
seresnext101_32x8d,84.204,96.876
crossvit_18_dagger_408,84.194,96.818
ig_resnext101_32x16d,84.17,97.198
volo_d1_224,84.162,96.776
pit_b_distilled_224,84.14,96.856
tf_efficientnet_b6,84.11,96.888
cait_xs24_384,84.062,96.89
regnetz_d8_evos,84.054,96.996
regnetz_d8,84.052,96.994
tf_efficientnet_b3_ns,84.048,96.908
vit_small_r26_s32_384,84.042,97.328
regnetz_d32,84.022,96.866
resnetv2_50x3_bitm,84.014,97.124
eca_nfnet_l1,84.012,97.028
resnet200d,83.964,96.824
swin_s3_base_224,83.932,96.66
regnety_080,83.926,96.888
tf_efficientnetv2_s,83.886,96.696
xcit_small_24_p16_224_dist,83.868,96.724
resnetv2_152x2_bit_teacher_384,83.844,97.118
convnext_base,83.838,96.75
xcit_small_24_p8_224,83.838,96.636
crossvit_15_dagger_408,83.836,96.784
resnest200e,83.828,96.892
tf_efficientnet_b5,83.812,96.748
efficientnetv2_rw_s,83.81,96.722
vit_small_patch16_384,83.804,97.102
swin_s3_small_224,83.768,96.452
xcit_tiny_24_p8_384_dist,83.742,96.71
xcit_medium_24_p8_224,83.736,96.394
regnety_064,83.72,96.722
resnetrs152,83.714,96.614
regnetv_064,83.714,96.746
regnety_160,83.69,96.776
twins_svt_large,83.68,96.594
resnet152d,83.678,96.738
resmlp_big_24_distilled_224,83.588,96.648
jx_nest_base,83.556,96.362
cait_s24_224,83.458,96.564
efficientnet_b4,83.424,96.596
deit_base_distilled_patch16_224,83.392,96.486
dm_nfnet_f0,83.386,96.574
swsl_resnext101_32x16d,83.35,96.844
xcit_small_12_p16_224_dist,83.35,96.414
vit_base_patch32_384,83.348,96.834
xcit_small_12_p8_224,83.344,96.48
tf_efficientnet_b4_ap,83.252,96.394
swsl_resnext101_32x4d,83.236,96.764
swin_small_patch4_window7_224,83.216,96.324
regnetv_040,83.2,96.662
xception65,83.18,96.592
convnext_small,83.15,96.432
resnext101_64x4d,83.14,96.37
twins_svt_base,83.138,96.42
twins_pcpvt_large,83.134,96.604
xception65p,83.126,96.478
jx_nest_small,83.118,96.33
deit_base_patch16_384,83.106,96.368
tresnet_m,83.07,96.12
tresnet_xl_448,83.054,96.172
regnety_040,83.036,96.506
tf_efficientnet_b4,83.024,96.3
resnet101d,83.022,96.448
xcit_large_24_p16_224,82.894,95.882
resnest101e,82.89,96.318
resnetv2_152x2_bit_teacher,82.872,96.57
resnetv2_50x1_bit_distilled,82.822,96.528
resnet152,82.82,96.13
pnasnet5large,82.79,96.04
nfnet_l0,82.752,96.518
regnety_032,82.726,96.424
twins_pcpvt_base,82.708,96.35
ig_resnext101_32x8d,82.7,96.63
xcit_medium_24_p16_224,82.638,95.974
regnetz_c16_evos,82.632,96.476
nasnetalarge,82.626,96.046
levit_384,82.588,96.022
xcit_small_24_p16_224,82.58,96.006
eca_nfnet_l0,82.576,96.49
xcit_tiny_24_p16_384_dist,82.572,96.288
xcit_tiny_24_p8_224_dist,82.564,96.17
resnet61q,82.526,96.134
crossvit_18_dagger_240,82.52,96.07
regnetz_c16,82.516,96.36
gc_efficientnetv2_rw_t,82.466,96.296
poolformer_m48,82.462,95.958
pit_b_224,82.446,95.71
crossvit_18_240,82.398,96.058
xcit_tiny_12_p8_384_dist,82.394,96.22
tf_efficientnet_b2_ns,82.38,96.248
resnet51q,82.362,96.18
ecaresnet50t,82.348,96.138
efficientnetv2_rw_t,82.344,96.196
resnetv2_101x1_bitm,82.336,96.516
crossvit_15_dagger_240,82.33,95.958
mixer_b16_224_miil,82.308,95.718
coat_lite_small,82.304,95.848
resnetrs101,82.288,96.01
convit_base,82.286,95.938
tresnet_l_448,82.268,95.982
efficientnet_b3,82.24,96.114
convnext_tiny_hnf,82.222,95.866
crossvit_base_240,82.216,95.834
cait_xxs36_384,82.194,96.144
swsl_resnext50_32x4d,82.176,96.232
ecaresnet101d,82.172,96.046
swin_s3_tiny_224,82.126,95.95
poolformer_m36,82.112,95.69
visformer_small,82.106,95.874
convnext_tiny,82.064,95.852
halo2botnet50ts_256,82.06,95.642
tresnet_xl,82.058,95.936
fbnetv3_g,82.046,96.064
resnetv2_101,82.042,95.864
deit_base_patch16_224,81.996,95.732
pit_s_distilled_224,81.994,95.798
resnetv2_50d_evos,81.98,95.91
xcit_small_12_p16_224,81.976,95.818
tf_efficientnetv2_b3,81.966,95.78
xception41p,81.96,95.794
resnet101,81.932,95.77
xcit_tiny_24_p8_224,81.892,95.976
vit_small_r26_s32_224,81.856,96.02
ssl_resnext101_32x16d,81.854,96.096
tf_efficientnet_b3_ap,81.826,95.622
resnetv2_50d_gn,81.818,95.922
tresnet_m_448,81.704,95.572
twins_svt_small,81.68,95.67
halonet50ts,81.66,95.612
tf_efficientnet_b3,81.636,95.718
rexnet_200,81.63,95.668
ssl_resnext101_32x8d,81.608,96.042
lamhalobotnet50ts_256,81.546,95.502
crossvit_15_240,81.542,95.69
tf_efficientnet_lite4,81.536,95.668
tnt_s_patch16_224,81.52,95.744
levit_256,81.506,95.492
vit_large_patch32_384,81.506,96.094
tresnet_l,81.492,95.624
wide_resnet50_2,81.452,95.53
convit_small,81.42,95.74
jx_nest_tiny,81.42,95.618
poolformer_s36,81.418,95.45
vit_small_patch16_224,81.396,96.132
tf_efficientnet_b1_ns,81.388,95.736
swin_tiny_patch4_window7_224,81.374,95.544
convmixer_1536_20,81.366,95.614
gernet_l,81.344,95.532
efficientnet_el,81.31,95.53
legacy_senet154,81.31,95.496
coat_mini,81.266,95.394
seresnext50_32x4d,81.258,95.63
gluon_senet154,81.232,95.348
deit_small_distilled_patch16_224,81.208,95.374
xcit_tiny_12_p8_224_dist,81.208,95.6
swsl_resnet50,81.174,95.978
sebotnet33ts_256,81.156,95.17
resmlp_36_distilled_224,81.154,95.488
lambda_resnet50ts,81.146,95.102
resnest50d_4s2x40d,81.11,95.564
resnext50_32x4d,81.108,95.326
pit_s_224,81.1,95.33
twins_pcpvt_small,81.09,95.64
haloregnetz_b,81.05,95.196
resmlp_big_24_224,81.032,95.02
crossvit_small_240,81.018,95.456
gluon_resnet152_v1s,81.016,95.412
resnest50d_1s4x24d,80.99,95.324
resnest50d,80.982,95.38
cait_xxs24_384,80.966,95.646
sehalonet33ts,80.964,95.272
xcit_tiny_12_p16_384_dist,80.944,95.412
gcresnet50t,80.942,95.454
ssl_resnext101_32x4d,80.924,95.726
gluon_seresnext101_32x4d,80.906,95.294
gluon_seresnext101_64x4d,80.878,95.298
efficientnet_b3_pruned,80.858,95.244
ecaresnet101d_pruned,80.814,95.63
regnety_320,80.81,95.244
resmlp_24_distilled_224,80.764,95.224
gernet_m,80.744,95.184
vit_base_patch32_224,80.722,95.566
regnetz_b16,80.714,95.478
