model,train_type,train_data,architecture,model_class,task_cluster,model_display_name,description,model_source,model_source_url,weights_url
alexnet,classification,imagenet,alexnet,Convolutional,Semantic,AlexNet,AlexNet trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg11,classification,imagenet,vgg11,Convolutional,Semantic,VGG11,VGG11 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg13,classification,imagenet,vgg13,Convolutional,Semantic,VGG13,VGG13 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg16,classification,imagenet,vgg16,Convolutional,Semantic,VGG16,VGG16 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg19,classification,imagenet,vgg19,Convolutional,Semantic,VGG19,VGG19 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg11_bn,classification,imagenet,vgg11_bn,Convolutional,Semantic,VGG11-BatchNorm,VGG11-BatchNorm trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg13_bn,classification,imagenet,vgg13_bn,Convolutional,Semantic,VGG13-BatchNorm,VGG13-BatchNorm trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg16_bn,classification,imagenet,vgg16_bn,Convolutional,Semantic,VGG16-BatchNorm,VGG16-BatchNorm trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
vgg19_bn,classification,imagenet,vgg19_bn,Convolutional,Semantic,VGG19-BatchNorm,VGG19-BatchNorm trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnet18,classification,imagenet,resnet18,Convolutional,Semantic,ResNet18,ResNet18 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnet34,classification,imagenet,resnet34,Convolutional,Semantic,ResNet34,ResNet34 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnet50,classification,imagenet,resnet50,Convolutional,Semantic,ResNet50,ResNet50 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnet101,classification,imagenet,resnet101,Convolutional,Semantic,ResNet101,ResNet101 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnet152,classification,imagenet,resnet152,Convolutional,Semantic,ResNet152,ResNet152 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
squeezenet1_0,classification,imagenet,squeezenet1_0,Convolutional,Semantic,SqueezeNet1.0,SqueezeNet1.0 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
squeezenet1_1,classification,imagenet,squeezenet1_1,Convolutional,Semantic,SqueezeNet1.1,SqueezeNet1.1 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
densenet121,classification,imagenet,densenet121,Convolutional,Semantic,DenseNet121,DenseNet121 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
densenet161,classification,imagenet,densenet161,Convolutional,Semantic,DenseNet161,DenseNet161 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
densenet169,classification,imagenet,densenet169,Convolutional,Semantic,DenseNet169,DenseNet169 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
densenet201,classification,imagenet,densenet201,Convolutional,Semantic,DenseNet201,DenseNet201 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
googlenet,classification,imagenet,googlenet,Convolutional,Semantic,GoogleNet,GoogleNet trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
shufflenet_v2_x0_5,classification,imagenet,shufflenet_v2_x0_5,Convolutional,Semantic,ShuffleNet-V2-x0.5,ShuffleNet-V2-x0.5 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
shufflenet_v2_x1_0,classification,imagenet,shufflenet_v2_x1_0,Convolutional,Semantic,ShuffleNet-V2-x1.0,ShuffleNet-V2-x1.0 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
mobilenet_v2,classification,imagenet,mobilenet_v2,Convolutional,Semantic,MobileNet-V2,MobileNet-V2 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnext50_32x4d,classification,imagenet,resnext50_32x4d,Convolutional,Semantic,ResNext50-32x4D,ResNext50-32x4D trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
resnext101_32x8d,classification,imagenet,resnext101_32x8d,Convolutional,Semantic,ResNext50-32x8D,ResNext50-32x8D trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
wide_resnet50_2,classification,imagenet,wide_resnet50_2,Convolutional,Semantic,Wide-ResNet50,Wide-ResNet50 trained on image classification with the ImageNet dataset.,torchvision,pytorch.org/docs/stable/torchvision/models.html,
