model,top1_accuracy,top5_accuracy
alexnet,56.522,79.066
vgg11,69.02,88.628
vgg13,69.928,89.246
vgg16,71.592,90.382
vgg19,72.376,90.876
vgg11_bn,70.37,89.81
vgg13_bn,71.586,90.374
vgg16_bn,73.36,91.516
vgg19_bn,74.218,91.842
resnet18,69.758,89.078
resnet34,73.314,91.42
resnet50,76.13,92.862
resnet101,77.374,93.546
resnet152,78.312,94.046
squeezenet_1_0,58.092,80.42
squeezenet_1_1,58.178,80.624
densenet121,74.434,91.972
densenet169,75.6,92.806
densenet201,76.896,93.37
densenet161,77.138,93.56
inception_v3,77.294,93.45
goolenet,69.778,89.53
shufflenet_v2_x0_5,69.362,88.316
shufflenet_v2_x1_0,60.552,81.746
mobilenet_v2,71.878,90.286
mobilenet_v3_large,74.042,91.34
mobilenet_v3_small,67.668,87.402
resnext50_32x4d,77.618,93.698
resnext101_32x8d,79.312,94.526
wide_resnet50_2,78.468,94.086
wide_resnet101_2,78.848,94.284
mnasnet0_5,73.456,91.51
mnasnet1_0,67.734,87.49
efficientnet_b0,77.692,93.532
efficientnet_b1,78.642,94.186
efficientnet_b2,80.608,95.31
efficientnet_b3,82.008,96.054
efficientnet_b4,83.384,96.594
efficientnet_b5,83.444,96.628
efficientnet_b6,84.008,96.916
efficientnet_b7,84.122,96.908
regnet_x_400mf,72.834,90.95
regnet_x_800mf,75.212,92.348
regnet_x_1_6gf,77.04,93.44
regnet_x_3_2gf,78.364,93.992
regnet_x_8gf,79.344,94.686
regnet_x_16gf,80.058,94.944
regnet_x_32gf,80.622,95.248
regnet_y_400mf,74.046,91.716
regnet_y_800mf,76.42,93.136
regnet_y_1_6gf,77.95,93.966
regnet_y_3_2gf,78.948,94.576
regnet_y_8gf,80.032,95.048
regnet_y_16gf,80.424,95.24
regnet_y_32gf,80.878,95.34
vit_b_16,81.072,95.318
vit_b_32,75.912,92.466
vit_l_16,79.662,94.638
vit_l_32,76.972,93.07
convnext_tiny,82.52,96.146
convnext_small,83.616,96.65
convnext_base,84.062,96.87
convnext_large,84.414,96.976
